Senator,Photo,County,Party,Status
Sen. Lelegwe Steve Ltumbesi,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/41b4b772185780c545f480dd3c440a9c_M.jpg,Samburu,JP,Elected
Sen. Linturi Franklin Mithika,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/4a2662994c6abdc171531b2b6af6a4de_M.jpg,Meru,JP,Elected
Sen. Loitiptip Anuar,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/0a9c4647017995b1a5a50326a05e6fcf_M.jpg,Lamu,JP,Elected
Sen. Lokorio Petronila Were,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/78670d8df485ae375d04cfa0354efefa_M.jpg,N\/A,N\/A,Nominated
Sen. Madzayo Stewart Mwachiru,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/b9deed2baf78623484fc2170479f5cfb_M.jpg,Kilifi,ODM,Elected
Sen. Mahamud Mohamed M,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/30c159f7039f4f65df10cdb5a5bd4371_M.jpg,Mandera,JP,Elected
Sen. Makori Beatrice Kwamboka,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/f314dfc9c926bccc6099265dd6e8b176_M.jpg,N\/A,ODM,Nominated
Sen. Malala Cleophas W,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2019-04/PHOTO-2019-04-15-11-11-56.jpg,Kakamega,ANC,Elected
Sen. Masitsa Naomi Shiyonga,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/a5db8c1256359d5e22d55281b76436ae_M.jpg,N\/A,ODM,Nominated
Sen. Mbito Michael Maling’a,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/e24cfae7f84287c076a251ad29dd373a_M.jpg,Trans Nzoia,JP,Elected
Sen. Mogeni Erick Okong’o,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/ac07d9048fd094110f394261b5593b54_M.jpg,Nyamira,ODM,Elected
Sen. Moi Gideon Kipsielei,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/5ff9e7aed4b0e3579983191e3223a3de_M.jpg,Baringo,KANU,Elected
Sen. Mpaayei Phillip Salau,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/2be7e98d6dd601dd90fcd5a3c552aafc_M.jpg,Kajiado,JP,Elected
Sen. Mugo Beth Wambui,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/55097f9559083383e45911635c552374_M.jpg,N\/A,JP,Nominated
Sen. Murkomen Onesimus Kipchumba,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/b530b29364dc197ef695fa1cde29db91_M.jpg,Elgeyo Marakwet,N\/A,Elected
Sen. Mwangi Paul Githiomi,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/f7067fbd602227e1a142c38a47a74e8c_M.jpg,Nyandarua,JP,Elected
Sen. Mwaruma Johnes M,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/126a8ea5a99de59880965ab089346c55_M.jpg,Taita Taveta,ODM,Elected
Sen. Mwaura Isaac,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/125e4605764911a65f000c422ece37a5_M.jpg,N\/A,N\/A,Nominated
Sen. Mwinyi Haji Mohamed,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/5cf40067d6708c5b304c99c7d81ad1b6_M.jpg,Mombasa,N\/A,Elected
Sen. Nderitu John Kinyua,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/6f98e5ea5d6baacc1876227d18ec1d1c_M.jpg,Laikipia,JP,Elected
Sen. Ndwiga Peter Njeru,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/7a7a1b5b62bd91f168816ae073e91b87_M.jpg,Embu,JP,Elected
Sen. Nyamunga Rose Ogendo,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/1217775d545a22a59038b9e66093688c_M.jpg,N\/A,ODM,Nominated
Sen. Olekina Ledama,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/836e979ea538bc0b7dfe0d21f5f98643_M.jpg,Narok,ODM,Elected
Sen. Omanga Millicent,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/1a1f7a0b36a604380ea8a296d1f07f6f_M.jpg,N\/A,N\/A,Nominated
Sen. Orengo James,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/70238631ffd7abd1952aa36b81c3868a_M.jpg,Siaya,N\/A,Elected
Sen. Outa Fredrick Otieno,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/b9eca47d3d5e30f0d74193059336dc22_M.jpg,Kisumu,ODM,Elected
Sen. Pareno Judith Ramaita,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/34fed0855a31e44e5f62b48104bae799_M.jpg,N\/A,ODM,Nominated
Sen. Poghisio Samuel Losuron,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/d9bdb14eb0a9b1023a46137e4aceaf72_M.jpg,West Pokot,KANU,Elected
Sen. Prengei Victor,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/a2026f89d280329c069891e204646a61_M.jpg,N\/A,JP,Nominated
Sen. Sakaja Johnson Arthur,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/fcd63b9d3594a0d63de777bdec826379_M.jpg,Nairobi,N\/A,Elected
Sen. Seneta Mary Yiane,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/12aeffefa4c6755e65b4ef913f848251_M.jpg,N\/A,JP,Nominated
Sen. Wako Sitswila Amos,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/16d498f0bc740a6e2490611597bb103d_M.jpg,Busia,ODM,Elected
Sen. Wambua Enoch Kiio,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/830911234d1f27380eae9a6b119f1fb7_M.jpg,Kitui,WDM-K,Elected
Sen. Waqo Naomi Jilo,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/b158364f4293dd939f0251be3690d060_M.jpg,N\/A,JP,Nominated
Sen. Wario Golich Juma,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/646fde569dc2bfa74bc285a6acc1e1bf_M.jpg,Tana River,JP,Elected
Sen. Wetang’ula Moses Masika,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/25bfba7431836cae20efc2f79f1f821d_M.jpg,Bungoma,FORD-K,Elected
