Member of Parliament,Photo,County,Constituency,Party,Status
"Hon. Omulele, Christopher",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/e2ac308650e9eb88d720f3a51eea7fa5_M.jpg,Vihiga,Luanda,ODM,Elected
"Hon. Omuse, Geoffrey",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/d561f80dfa05c34464e7eed65db7a231_M.jpg,Busia,Teso South,ODM,Elected
"Hon. Omwera, George Aladwa",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/053eb2154b6e12921bc7bb753743fe75_M.jpg,Nairobi,Makadara,ODM,Elected
"Hon. Ongera, Janet",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/1497f9edaa54ebfbe4642a1bbd87acb4_M.jpg,Kisii,Kisii,ODM,Elected
"Hon. Onyiego, Silvanus Osoro",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/50887330165ed489421f0085838f09d5_M.jpg,Kisii,South Mugirango,KNC,Elected
"Hon. Osotsi, Godfrey",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/daf552acf2bbbfcbbc724b2e098faceb_M.jpg,N\/A,N\/A,ANC,Nominated
"Hon. Ouda, Fred Odhiambo",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/904f3ac4c855176c2a7e02aee0613185_M.jpg,Kisumu,Kisumu Central,ODM,Elected
"Hon. Oundo, Wilberforce Ojiambo",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/df0202a7b51a3fcc7901f13d1565ed40_M.jpg,Busia,Funyula,ODM,Elected
"Hon. Owino, John Walter",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/49919e6dcbcff5310b927dee980853ee_M.jpg,Migori,Awendo,ODM,Elected
"Hon. Owino, Martin Peters",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/b61e92b5bd94477b5056917a080d4cab_M.jpg,Homa Bay,Ndhiwa,ODM,Elected
"Hon. Owuor, Joshua Aduma",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/7fa76d838c5d0669d5303aecd98021bb_M.jpg,Kisumu,Nyakach,ODM,Elected
"Hon. Oyioka, John Oroo",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/38c355ee16c197abf3351ba6f4f08cb1_M.jpg,Kisii,Bonchari,PDP,Elected
"Hon. Oyoo, James Onyango",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/f675ce04dc7aa4c3b4cdff9d97e129a0_M.jpg,Kisumu,Muhoroni,ODM,Elected
"Hon. Oyula, Joseph H. Maero",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/35a215ac72749676c4ee9331058ec16f_M.jpg,Busia,Butula,ODM,Elected
"Hon. Passaris, Esther Muthoni Rosanna",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/4e73393c2eff6cb8430b92276847f700_M.jpg,Nairobi,Nairobi CIty,ODM,Elected
"Hon. Pkosing, David Losiakou",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/d667044ec2535d6b347d2580b265c5a0_M.jpg,West Pokot,Pokot South,JP,Elected
"Hon. Pukose, Dr Robert",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/abc177ee6c58a3f1cb63885a9808dc51_M.jpg,Trans-Nzoia,Endebess,JP,Elected
"Hon. Ramadhani, Suleiman Dori",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/49382db1cabe74312aebfced243ea3c2_M.jpg,Kwale,Msambweni,ODM,Elected
"Hon. Raso, Dido Ali",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/c751a390ac9295853b04d199f361f99e_M.jpg,Marsabit,Saku,JP,Elected
"Hon. Rindikiri, Mugambi Murwithania",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/4574050533b8ea8ae703ffdf4259c2ce_M.jpg,Meru,Buuri,JP,Elected
"Hon. Robi, Mathias Nyamabe",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/aeab9f4afe0065cfabe5369ed910857f_M.jpg,Migori,Kuria West,JP,Elected
"Hon. Rono, Daniel Kipkogei",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/766488e3658e0daaabe6f7e42c884255_M.jpg,Elgeyo-Marakwet,Keiyo South,JP,Elected
"Hon. Sambu, Bernard Alfred Wekesa",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/16fb50ff776de4c5b59c949cb6203874_M.jpg,Bungoma,Webuye East,ANC,Elected
"Hon. Serem, Cornelly",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/55a4b1dc02dc4df8b8ce3bbec9c356d0_M.jpg,Nandi,Aldai,JP,Elected
"Hon. Serem, Joshua Kutuny",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/79d73272824fe2ee515fc4e50a0d1c23_M.jpg,Trans-Nzoia,Cherangany,JP,Elected
"Hon. Seroney, Sammy Kipkorir",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/3d93c55b098172a28d1ff09abb281307_M.jpg,N\/A,N/A,WDM-K,Nominated
"Hon. Shaban, Naomi Namsi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/80a59eeea9ebb8715476a56b0aba92ef_M.jpg,Taita Taveta,Taveta,JP,Elected
"Hon. Shamalla, Jennifer",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/00c935e00a0e1781a9130e68a6026b4f_M.jpg,N\/A,N\/A,JP,Nominated
"Hon. Shimbwa, Omar Mwinyi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/a84fbc66d2a25b36ced210152b329878_M.jpg,Mombasa,Changamwe,ODM,Elected
"Hon. Shinali, Benard Masaka",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/44ffc45b50f322d6bb819fb312960a6d_M.jpg,Kakamega,Ikolomani,JP,Elected
"Hon. Shollei, Gladys Jepkosgei-Boss",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/e64421104d283097181b12f6cbfcbb93_M.jpg,Uasin Gishu,Uasin Gishu,JP,Elected
"Hon. Shurie, Abdi Omar",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/e24f0fb4483e248d70b6713336d3e3ce_M.jpg,Garissa,Balambala,JP,Elected
"Hon. Simiyu, David Eseli",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/925cc4765b1647fe121f7710b4d1814b_M.jpg,Bungoma,Tongaren,FORD-K,Elected
"Hon. Sitati, Daniel Wanyama",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/3cebee5fba2c4faded01d968852d12e5_M.jpg,Bungoma,Webuye West,JP,Elected
"Hon. Sitienei, Janet Jepkemboi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/3914f215a548fddde792ee485522ba8b_M.jpg,Uasin Gishu,Turbo,IND,Elected
"Hon. Sossion, Wilson",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/a57c70015d2955d086d93bb809131cc5_M.jpg,N\/A,N\/A,ODM,Nominated
"Hon. Sudi, Oscar Kipchumba",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/68e022659867147b29bcb43e75ab56d8_M.jpg,Uasin Gishu,Kapseret,JP,Elected
"Hon. Sunkuyia, George Risa",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/7ead6714de263a5cb87d02f7a7ac9bf7_M.jpg,Kajiado,Kajiado West,JP,Elected
"Hon. Tandaza, Kassim Sawa",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/d29e6a01f61459cb5c6ee7e3a2424526_M.jpg,Kwale,Matuga,ANC,Elected
"Hon. Tayari, Benjamin Dalu Stephen",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/be8705c3475c94c84e2da78362c91453_M.jpg,Kwale,Kinango,ODM,Elected
"Hon. Tepo, Abdi Koropu",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/26b90ed750a66fcf594486f0628c1fa0_M.jpg,Isiolo,Isiolo South,KPP,Elected
"Hon. Teyiaa, Janet Marania",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/676091ebc71184b3b493c133a431b831_M.jpg,Kajiado,Kajiado,JP,Elected
"Hon. Theuri, George",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/55b7a72ab2b13ebd155412a2cb343942_M.jpg,Nairobi,Embakasi West,JP,Elected
"Hon. Thuku, Zachary Kwenya",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/87118bfb15564c415136cf8ce002afc3_M.jpg,Nyandarua,Kinangop,JP,Elected
"Hon. Tiren, Silas Kipkoech",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/dc0900c4858a2f0dce82ed3898356bb3_M.jpg,Uasin Gishu,Moiben,JP,Elected
"Hon. Tobiko, Peris Pesi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/3d5d61eb7a826bf5aedbbcc91eb5ac74_M.jpg,Kajiado,Kajiado East,JP,Elected
"Hon. Tomitom, Lilian Cheptoo",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/405b09458c97cf5b6bd2ee2be99807fb_M.jpg,West Pokot,West Pokot,JP,Elected
"Hon. Tongi, Richard Nyagaka",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/16742834afb5f1a0802403bec0db6d30_M.jpg,Kisii,Nyaribari Chache,JP,Elected
"Hon. Tongoyo, Gabriel Koshal",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/f85c69e258fa1e3fd07e321cb5f74e94_M.jpg,Narok,Narok West,CCM,Elected
"Hon. Tonui, Ronald Kiprotich",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/b389d00dbde0f89ea5c947817618bdcf_M.jpg,Bomet,Bomet Central,JP,Elected
"Hon. Tuitoek, Daniel Kamuren",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/8bfd93495956266847187a18b8b34bdb_M.jpg,Baringo,Mogotio,JP,Elected
"Hon. Tum, Tecla Chebet",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/b19561bfe5acb7716f4100f417429700_M.jpg,Nandi,Nandi,JP,Elected
"Hon. Tuwei, Vincent Kipkurui",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/5bbc2aed7eb4a97970667ca758d3d935_M.jpg,Nandi,Mosop,JP,Elected
"Hon. Tuya, Roselinda Soipan",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/c63d7231fdd3fe9a1aa75e8690e209f6_M.jpg,Narok,Narok,JP,Elected
"Hon. Wachira, Josphat Kabinga",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/f56dcf43b7768c6f7ecee39e14ad2696_M.jpg,Kirinyaga,Mwea,JP,Elected
"Hon. Wachira, Rahab Mukami",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/61b2457bd26e807bc7886562638d9f31_M.jpg,Nyeri,Nyeri,JP,Elected
"Hon. Wahome, Alice Muthoni",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/4f48ac064c910292899c0a18319fdc9d_M.jpg,Murang'a,Kandara,JP,Elected
"Hon. Waititu, Francis Munyua",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/06a65b7e89ba3b285a867f4f2c1f15f1_M.jpg,Kiambu,Juja,JP,Elected
"Hon. Wakhungu, Chrisantus Wamalwa",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/88f1ce450f9cbf7ce9b9240ea330e329_M.jpg,Trans-Nzoia,Kiminini,FORD-K,Elected
"Hon. Wamacukuru, James Githua Kamau",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/e50ea347917618304944294820c7b33b_M.jpg,Kiambu,Kabete,JP,Elected
"Hon. Wambilianga, Catherine Nanjala",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/67c060ba9d344cfb14a762a07b4400d4_M.jpg,Bungoma,Bungoma,FORD-K,Elected
"Hon. Wambugu, John Munene",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2019-06/PHOTO-2019-06-17-12-37-15.jpg,Kirinyaga,Kirinyaga Central,JP,Elected
"Hon. Wambugu, Martin Deric Ngunjiri",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/50f8e9503c40607fa3af5ddb20c717b4_M.jpg,Nyeri,Nyeri Town,JP,Elected
"Hon. Wamuchomba, Gathoni",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/14383eebd7367174c74b324d2774f2dc_M.jpg,Kiambu,Kiambu,JP,Elected
"Hon. Wamunyinyi, Athanas Misiko Wafula",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/c803f34f838a7cde7be0d34d45574749_M.jpg,Bungoma,Kanduyi,FORD-K,Elected
"Hon. Wandayi, James Opiyo",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/d6aff89a658ad883181587a620c01a29_M.jpg,Siaya,Ugunja,ODM,Elected
"Hon. Wanga, Gladys Atieno Nyasuna",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/9dd60418066db724ebb1cf832eaf5702_M.jpg,Homa Bay,Homa Bay,ODM,Elected
"Hon. Wangaya, Christopher Aseka",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/65b84e66df29f1c375d94f81b963889d_M.jpg,Kakamega,Khwisero,ANC,Elected
"Hon. Wangwe, Emmanuel",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/38b583516eb5c2e3d4af5ae22c6d48cf_M.jpg,Kakamega,Navakholo,JP,Elected
"Hon. Wanjala, Raphael Bitta Sauti",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/b20e1b0483ae02403352523456c51596_M.jpg,Busia,Budalangi,ODM,Elected
"Hon. Wanjira, Martha Wangari",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/aa21f5a00de04effd17397b3e7a5ca00_M.jpg,Nakuru,Gilgil,JP,Elected
"Hon. Wanyama, Janet Nangabo",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/1f6dd5aa012fb4885c61f13c14c08e27_M.jpg,Trans-Nzoia,Trans-Nzoia,JP,Elected
"Hon. Wanyonyi, Ferdinard Kevin",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/270360746bd8559a12c7c84e8e52ce9c_M.jpg,Trans-Nzoia,Kwanza,FORD-K,Elected
"Hon. Wario, Ali",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/7bff11993bca818548dae98cf5110200_M.jpg,Tana River,Bura,JP,Elected
"Hon. Wario, Qalicha Gufu",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/bf1d99f55c1e5372caa2fe2f3c8ad151_M.jpg,Marsabit,Moyale,JP,Elected
"Hon. Waruguru, Catherine Wanjiku",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/ef8b4f58175a113f41adf6539b5278b7_M.jpg,Laikipia,Laikipia,JP,Elected
"Hon. Washiali, Benjamin Jomo",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/db94c85e22ed15843439624af4fb6d34_M.jpg,Kakamega,Mumias East,JP,Elected
"Hon. Waweru, John Kiarie",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/ef7f993a6cc03edcb0e436ea4d9a1a92_M.jpg,Nairobi,Dagoretti South,JP,Elected
"Hon. Were, Charles Ong’ondo",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/9583dc510fd3047f9766b624e3cdd5d0_M.jpg,Homa Bay,Kasipul,ODM,Elected
"Hon. Wetangula, Timothy Wanyonyi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/5108b0ca2eed78054d2975cb63791f3e_M.jpg,Nairobi,Westlands,ODM,Elected
"Hon. Yussuf, Adan Haji",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/7504c9799ee42c9b6ddf530abd1362ee_M.jpg,Mandera,Mandera West,EFP,Elected
"Hon. Yussuf, Mucheke Halima",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/52fbadf952fc89b2765f48c72fb1eb0a_M.jpg,N\/A,N\/A,JP,Nominated
