Member of Parliament,Photo,County,Constituency,Party,Status
"Hon. Ibrahim, Ahmed Abdisalan",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/8f7e71390d72d9ea8d2e9c3e36b68d2e_M.jpg,Wajir,Wajir North,ODM,Elected
"Hon. Ibrahim, Nasri Sahal",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/f225425ad4e97f603b376b8125383fae_M.jpg,N\/A,Nominated,FORD - K,Nominated
"Hon. Ichung'wah, Anthony Kimani",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/2bab3fe1f5c438a1345c3a32387dad33_M.jpg,Kiambu,Kikuyu,JP,Elected
"Hon. Injendi, Moses Malulu",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/468bf5f58391799e4cdbe1b20493193a_M.jpg,Kakamega,Malava,JP,Elected
"Hon. Iringo, Cyprian Kubai",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/3452b7591c3d95f16ebd3ca0f6eac17a_M.jpg,Meru,Igembe Central,JP,Elected
"Hon. Jaldesa, Rehema Dida",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/70265694c1397a38e93527516b73a10c_M.jpg,Isiolo,Isiolo,JP,Elected
"Hon. Jungle, Patrick Kimani Wainaina",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/5445a93d27f2b991d911dcc3c82aa251_M.jpg,Kiambu,Thika Town,IND,Elected
"Hon. Justin B. N. Muturi, EGH, MP",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2018-11/speaker%20NA.jpeg,,,,
"Hon. Kabeabea, Josphat Gichunge Mwirabua",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/146385ea9784615c2816204dbf9d5cfa_M.jpg,Meru,Tigania East,PNU,Elected
"Hon. Kajwang’, Francis Tom Joseph",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/a9e9f42914223665d97ad02bf448f9bc_M.jpg,Nairobi,Ruaraka,ODM,Elected
"Hon. Kaluma, George Peter Opondo",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/648cedeb1f9039827c51528b6d2f0bbf_M.jpg,Homa Bay,Homa Bay Town,ODM,Elected
"Hon. Kamanda, Maina",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/ac048a37b20d1d4df4bdf2ebe6bbc3bf_M.jpg,N\/A,Nominated,JP,Nominated
"Hon. Kamene, Joyce",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/21c0576bea23dc1b15ecf44c7e7851b7_M.jpg,Machakos,Machakos,WDM-K,Elected
"Hon. Kamket Kassait, William",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/a00faca0fcac606f5ed9174b6103a6e8_M.jpg,Baringo,Tiaty,KANU,Elected
"Hon. Kamuren, Charles",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/default_images/person-outline-icon-png-person-outline-icon-png-person-17.png,,Baringo South,Jubilee Party,
"Hon. Kanchory, Elijah Memusi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/350dd1a4eb1b2150e3f5ece8e33ee186_M.jpg,Kajiado,Kajiado Central,ODM,Elected
"Hon. Kandie, Joshua Chepyegon",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/b934a112f613d98a0215e11533a8997b_M.jpg,Baringo,Baringo Central,MCCP,Elected
"Hon. Karani, Christopher Odhiambo",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/6401108ad245c086aa79c48f1d124c7c_M.jpg,Siaya,Ugenya,ODM,Elected
"Hon. Kasalu, Irene Muthoni",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/88a07779463fcb36b69aa3ddbde1a262_M.jpg,Kitui,Kitui,WDM-K,Elected
