lat,commodity,price,date,location,units,lon
-1.2920659,White Maize,2618.00,2008-11-11,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,2411.00,2008-12-12,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,2221.00,2009-01-01,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,2445.00,2009-02-02,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,2685.00,2009-03-03,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,2731.00,2009-04-04,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,3160.00,2009-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,2854.00,2009-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,2684.00,2009-07-07,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,2616.00,2009-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,2650.00,2009-09-09,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,2406.00,2009-10-10,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,2465.00,2009-11-11,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,2692.00,2009-12-12,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,2525.00,2010-01-01,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,2155.00,2010-02-02,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,2072.00,2010-03-03,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,2048.00,2010-04-04,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1970.00,2010-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1948.00,2010-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1908.00,2010-07-07,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1800.00,2010-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1733.00,2010-09-09,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1600.00,2010-10-10,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1600.00,2010-11-11,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1792.00,2010-12-12,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,2000.00,2011-01-01,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,2087.00,2011-02-02,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,2210.00,2011-03-03,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,2500.00,2011-04-04,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,3193.00,2011-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,3800.00,2011-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,4225.00,2011-07-07,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,3540.00,2011-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,3096.00,2011-09-09,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,3059.00,2011-10-10,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,3200.00,2011-11-11,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,3200.00,2011-12-12,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,3160.00,2012-01-01,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,2945.00,2012-02-02,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,2690.00,2012-03-03,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,2775.00,2012-04-04,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,3682.00,2012-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,3650.00,2012-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,3615.00,2012-07-07,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,3327.00,2012-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,2998.00,2012-09-09,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,NA,2000-01-01,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,NA,2000-02-02,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,NA,2000-03-03,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,NA,2000-04-04,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,NA,2000-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,NA,2000-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,NA,2000-07-07,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,NA,2000-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,NA,2000-09-09,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,NA,2000-10-10,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,NA,2000-11-11,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,NA,2000-12-12,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2900.00,2001-01-01,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2525.00,2001-02-02,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2533.00,2001-03-03,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2404.00,2001-04-04,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2400.00,2001-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2368.00,2001-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2325.00,2001-07-07,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2371.00,2001-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2300.00,2001-09-09,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2133.00,2001-10-10,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,1800.00,2001-11-11,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,1920.00,2001-12-12,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,1967.00,2002-01-01,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2129.00,2002-02-02,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2117.00,2002-03-03,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2350.00,2002-04-04,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2571.00,2002-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2716.00,2002-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2453.00,2002-07-07,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2117.00,2002-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2235.00,2002-09-09,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2371.00,2002-10-10,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2500.00,2002-11-11,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2133.00,2002-12-12,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2000.00,2003-01-01,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2075.00,2003-02-02,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2160.00,2003-03-03,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2305.00,2003-04-04,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2642.00,2003-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2800.00,2003-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2713.00,2003-07-07,Nairobi,90 kg bag,36.8219462
